term,estimate,std.error,statistic,p.value,conf.low,conf.high,outcome
(Intercept),0.6984041534829968,0.23214200477507407,-1.546283395293435,0.12203614035497265,0.44181652984314373,1.0989718287427912,Top-1 diagnosis accuracy
appAI Skin Scanner,0.8261279974878337,0.19561814701167182,-0.9764204382116864,0.32885615732817647,0.5624785472319992,1.2117577293675983,Top-1 diagnosis accuracy
appModel Dermatol,2.1630849225585154,0.1940540586319476,3.975878747957733,7.01198477942379e-5,1.4817209855224394,3.172308078353805,Top-1 diagnosis accuracy
appClaude,1.181565123500404,0.19266759585376525,0.8659470458779497,0.38651920194238937,0.8101338140255606,1.7250930770110788,Top-1 diagnosis accuracy
fitzpatrick_scale2,1.3570598457994698,0.23007986648628023,1.3270195523415536,0.18450221492872754,0.8651335361244972,2.1338827706024106,Top-1 diagnosis accuracy
fitzpatrick_scale3,0.6869870249172961,0.23475122313056457,-1.5993095521065483,0.10975183813617374,0.43262244065950123,1.0869676463033433,Top-1 diagnosis accuracy
fitzpatrick_scale4,1.4700804457489194,0.23030639111292642,1.673063098381923,0.09431487506440622,0.9370750409812922,2.3133814888717423,Top-1 diagnosis accuracy
fitzpatrick_scale5,0.8063712102574139,0.22475529629802335,-0.9575350944463982,0.3382972416747022,0.518474041700738,1.2524073948496406,Top-1 diagnosis accuracy
fitzpatrick_scale6,1.152767806912577,0.2686209896569223,0.5292432266721725,0.5966367337494545,0.6802497491549716,1.9528497002159557,Top-1 diagnosis accuracy
labelsquamous cell carcinoma,0.7337566474368357,0.18945224761300003,-1.634067962994685,0.10224458089535549,0.5055395490207556,1.0629813334800768,Top-1 diagnosis accuracy
labelbasal cell carcinoma,1.7065324766916294,0.1921435309345316,2.7815847754752383,0.005409420051759019,1.1725945996541771,2.4917166405303055,Top-1 diagnosis accuracy
labelbenign nevus,0.6582001445068024,0.19896910922120306,-2.1020661175070594,0.035547484423428824,0.4447771522344817,0.9708709839347982,Top-1 diagnosis accuracy
(Intercept),3.0773400889617695,0.25335274217068293,4.436761200020807,9.132250591655138e-6,1.886112905374433,5.098787774134561,Any diagnosis accuracy
appAI Skin Scanner,0.4909060298731464,0.21031819388461384,-3.3829814793936572,7.170346762284698e-4,0.3239372907924136,0.7394382688219571,Any diagnosis accuracy
appModel Dermatol,0.7429394989985558,0.21433326580434137,-1.3863487987330367,0.1656404227655142,0.48713777132614244,1.1297598098195583,Any diagnosis accuracy
appClaude,0.6136472487133475,0.21203664476645542,-2.3030690283047797,0.021274959576456948,0.4038768417833327,0.9282030359709094,Any diagnosis accuracy
fitzpatrick_scale2,1.3254852049977799,0.25296907828091525,1.1138854866061574,0.26532831647442373,0.8082487893020122,2.1821113078189436,Any diagnosis accuracy
fitzpatrick_scale3,0.6186039945091159,0.24237502375877396,-1.981598408804307,0.04752420541733805,0.38360372959459055,0.9931190114882746,Any diagnosis accuracy
fitzpatrick_scale4,1.1995569371897885,0.2507181148288133,0.7257244644311364,0.46800770105206385,0.7342248066386224,1.9646830388986796,Any diagnosis accuracy
fitzpatrick_scale5,0.7947361215475837,0.23811798628051314,-0.9648374135723796,0.33462625322932277,0.49724987256732317,1.2660778139280062,Any diagnosis accuracy
fitzpatrick_scale6,1.0682229243199952,0.29038862789609693,0.22726940056725758,0.8202142653821847,0.6069595279153935,1.8995309621432117,Any diagnosis accuracy
labelsquamous cell carcinoma,1.1197114906370598,0.19856431043187647,0.5694429891838042,0.5690555498741623,0.7587771141610148,1.6539174369181735,Any diagnosis accuracy
labelbasal cell carcinoma,2.298648733932482,0.2219448008384149,3.7501281406692506,1.7674422841607121e-4,1.494798093279856,3.5734179843469476,Any diagnosis accuracy
labelbenign nevus,0.3531610357099682,0.20061456699446367,-5.188213148492216,2.123215010595848e-7,0.2375027218094398,0.5217713708626542,Any diagnosis accuracy
(Intercept),1.4974121769217308,0.26154628260950663,1.5436594961188341,0.12267084349033473,0.9008978914375002,2.5168309974959118,Benign/malignant accuracy
appAI Skin Scanner,0.9508326944433231,0.2245534800987787,-0.22452182802268264,0.8223512841217018,0.6117674242417523,1.4770151111515086,Benign/malignant accuracy
appModel Dermatol,0.8210944964543362,0.22222073663145483,-0.8870327761826409,0.3750612544374175,0.5303451818999892,1.2686837385852576,Benign/malignant accuracy
appClaude,1.7682388632383457,0.24129935347970882,2.362144989250067,0.018169534529344823,1.1055402091686506,2.8520421635829836,Benign/malignant accuracy
fitzpatrick_scale2,1.4869875185454196,0.2845759634077068,1.3941875799226175,0.16326096750745808,0.8534281284030848,2.611148064496373,Benign/malignant accuracy
fitzpatrick_scale3,0.8024225911580042,0.26813077555333603,-0.8209422726370417,0.4116791507987936,0.47324536646113563,1.3563798659919142,Benign/malignant accuracy
fitzpatrick_scale4,1.787090064807262,0.29222424606541275,1.9867914546055696,0.0469455119918604,1.0126061825839494,3.1939983790122883,Benign/malignant accuracy
fitzpatrick_scale5,1.010498965686423,0.2630229999537583,0.03970844487637336,0.9683255689507598,0.6021840464249707,1.6917819226771942,Benign/malignant accuracy
fitzpatrick_scale6,0.7635635914710495,0.2926822851631875,-0.9216781542582334,0.3566964788216406,0.4296625361041913,1.3563037085519858,Benign/malignant accuracy
labelsquamous cell carcinoma,1.1044070471403689,0.19436559469056305,0.5109370420160103,0.6093951423121039,0.7545716637929919,1.6177227710313669,Benign/malignant accuracy
labelbasal cell carcinoma,1.9319335714148584,0.2110014553221226,3.120932748393799,0.0018027919984326408,1.2813827034670493,2.933479714925597,Benign/malignant accuracy
labelbenign nevus,19.95083189779708,0.4381102143889312,6.832232491495661,8.36032098234807e-12,9.152404741164233,52.49954619972114,Benign/malignant accuracy
